gender,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85
female,0.016125826,0.103765878,0.456097153,1.757492305,4.297126398,7.4202333,10.68930727,13.07574628,14.91943336,16.88695171,19.38276439,18.09380459,17.08796683,16.56007398,15.42014085,12.99162222,10.99863539,8.525790461
male,0.008639598,0.038274744,0.165977779,0.406553923,1.008779893,1.841768183,2.782460209,3.343257905,3.976179484,4.436385592,5.310553668,5.878388054,6.873284154,6.923354172,7.596976297,6.912780661,5.647935105,5.612825221
